	2009.0417713901377
Vivek R. Narasayya	2002.0
Li Yang	2004.0
José Portelo	2014.0
Rajesh Narasimha	2014.0
Atousa Torabi	2010.5
Dimitar Kazakov	2015.0
Mohd. Noor Md. Sap	2006.0
Hein Röhrig	2007.0
Sang Kil Chang	2007.0
Mei Han	2007.0
Subhash Khot	2008.0
Juliane Stiller	2010.0
Avijit Saha	2015.0
Johan Lim	2006.0
Linda Brodo	2009.0
S. Shanthi	2011.0
Peter Hoff	2007.0
Fernando M. A. Silva	2012.0
Yue-Hsun Lin	2013.0
Pin-Chieh Sung	2011.0
Uwe Schmidt	2012.0
Casey Smith	2006.0
Hong Gao	2012.142857142857
Zhandong Liu	2012.6666666666667
Xun Yi	2008.75
Daniel Ansari	2015.0
Hong Lu	2008.4
Chavdar Botev	2011.0
Ashesh Jain	2013.0
Woochang Hwang	2006.5
Chun-Yang Fan	2006.0
P. J. Narayanan	2009.3333333333333
Gurinder S. Atwal	2003.0
Özcan Özyurt	2007.0
Eric Dahai Cheng	2005.0
Lalith Polepeddi	2011.0
Bart Baesens	2012.2
Roberto Lourenço de Oliveira Jr.	2014.0
Chun Yuan	2004.0
Marten H. Wegkamp	2006.5
Inbal Ronen	2011.0
Xiangrui Meng	2013.0
Yingbo Song	2007.0
A. N. Rajagopalan	2013.4
David R. Hardoon	2009.0
Somnath Pal	2005.0
Yee-Hong Yang	2008.0
Shai Ben-David	2007.16
Roland Göcke	2007.5
Zhen Xu	2006.0
Shabnam Shariaty	2011.0
Owen de Kretser	2001.0
Hui Luo	2000.0
Takehiro Yamamoto	2013.0
Sethuramalingam Subramaniam	2009.0
Wayne Wei Huang	2014.0
Carl Doersch	2011.5
Yoad Winter	2001.0
Dana Angluin	2006.0
Lixia Yao	2015.0
Tim Sheard	2005.0
Di Lin	2014.3333333333333
Bruce J. Tromberg	2003.0
Raquel Martínez	2013.0
Hossein Ragheb	2003.0
Satyanarayana Raju Penmetsa	2008.0
Yoshua Bengio	2009.090909090909
Kai Hwang 0001	2008.0
Vibhav Gogate	2011.5
Dikpal Reddy	2011.0
Chloé-Agathe Azencott	2014.0
Christoph Schnörr	2012.6666666666667
Celal Ziftci	2006.0
Rachid Deriche	2003.25
Tomonori Izumitani	2004.0
Christian Kohlschütter	2007.5
Jan Peters 0001	2009.4545454545455
Tommer Leyvand	2009.0
Paramita Koley	2013.0
Saïd Salhi	2009.0
Suh-Yin Lee	2009.125
Marco Patella	2013.0
Dragan Milchevski	2014.0
Changqing Zhang	2014.5
Boris Babenko	2008.6666666666667
Georgios Ketsetzis	2006.0
Kana Matsumura	2009.0
Sreeram Ramachandaran	2004.0
Piyush Bansal	2012.5
Nicole Krämer	2008.5
Giang Ngo	2006.0
Anil A. Bharath	2010.0
Giorgos Borboudakis	2012.0
Cheng Niu	2007.0
Jean-Daniel Boissonnat	2007.0
Paul R. Schrater	2009.2857142857142
Yohan Jo	2011.0
Fabian Laforet	2013.0
Michel François Valstar	2007.5
Je-Yong Oh	2015.0
Kenneth Salem	2002.0
Pandu Ranga Rao Devarakota	2007.0
Christopher Crosbie	2013.0
Marimuthu Palaniswami	2007.75
Özlem N. Subakan	2008.0
Jun Wang 0002	2007.5
Young-In Song	2010.3333333333333
Jan V. du Toit	2007.0
Craig Pfeifer	2014.0
Frédéric Flouvat	2009.75
Philip Wu	2006.0
Tamraparni Dasu	2012.5
Xiaoli Gao	2012.0
Muhammad Zeeshan Zia	2014.0
Tsegaye Tadesse	2004.0
Weiguo Sheng	2008.0
Anand K. Pandey	2012.0
Daniel Marcu	2005.0
Philip O'Reilly	2014.0
Kumar Dubey	2014.0
Xiaolan Zhu	2000.0
Min-Shiang Hwang	2002.5
Andreas F. Ehmann	2006.0
